dataset,method,family,view,quantity,ablation,halflife,halflife_int,status,ci_lo,ci_hi,horizon_E,base_value,base_ci_lo,floor,halflife_expfit,r2
cub200,m4_proto,F2,global,leak_auc,trajectory,6.0,,censored,,,6,0.9889042539208681,0.986447708660362,0.5,,
cub200,m4_proto,F2,global,leak_tpr1,last_round,6.0,,censored,,,6,0.832434802377318,0.8077790707525885,0.01,,
cub200,m4_proto,F2,global,leak_tpr1,trajectory,6.0,,censored,,,6,0.832434802377318,0.8077790707525885,0.01,,
cub200,m5_hybrid_replay,F1,full,acc,n/a,6.0,,censored,,,6,0.6660517758252824,0.5992726391649982,per-task a0(t)=1/classes_seen,,
cub200,m5_hybrid_replay,F1,full,leak_auc,last_round,6.0,,censored,,,6,0.672529006305274,0.6620317681889344,0.5,,
cub200,m5_hybrid_replay,F1,full,leak_auc,trajectory,6.0,,censored,,,6,0.672529006305274,0.6620317681889344,0.5,,
cub200,m5_hybrid_replay,F1,full,leak_tpr1,last_round,6.0,,censored,,,6,0.06357618053743803,0.054200546484027674,0.01,,
cub200,m5_hybrid_replay,F1,full,leak_tpr1,trajectory,6.0,,censored,,,6,0.06357618053743803,0.054200546484027674,0.01,,
cub200,m8_analytic,F5,aggregate,acc,n/a,6.0,,censored,,,6,0.9177669365700136,0.9096178505789023,per-task a0(t)=1/classes_seen,,
cub200,m8_analytic,F5,aggregate,leak_auc,last_round,6.0,,censored,6.0,6.0,6,0.9999995708903426,0.9999931340330571,0.5,,
cub200,m8_analytic,F5,aggregate,leak_auc,trajectory,6.0,,censored,6.0,6.0,6,0.9999995708903426,0.9999931340330571,0.5,,
cub200,m8_analytic,F5,aggregate,leak_tpr1,last_round,6.0,,censored,6.0,6.0,6,1.0,1.0,0.01,,
cub200,m8_analytic,F5,aggregate,leak_tpr1,trajectory,6.0,,censored,6.0,6.0,6,1.0,1.0,0.01,,
cub200,m8_analytic,F5,full,acc,n/a,6.0,,censored,,,6,0.9177669365700136,0.9096178505789023,per-task a0(t)=1/classes_seen,,
cub200,m8_analytic,F5,full,leak_auc,last_round,6.0,,censored,6.0,6.0,6,1.0,1.0,0.5,,
cub200,m8_analytic,F5,full,leak_auc,trajectory,6.0,,censored,6.0,6.0,6,1.0,1.0,0.5,,
cub200,m8_analytic,F5,full,leak_tpr1,last_round,6.0,,censored,6.0,6.0,6,1.0,1.0,0.01,,
cub200,m8_analytic,F5,full,leak_tpr1,trajectory,6.0,,censored,6.0,6.0,6,1.0,1.0,0.01,,
cub200,m8_analytic,F5,global,acc,n/a,6.0,,censored,,,6,0.9177669365700136,0.9096178505789023,per-task a0(t)=1/classes_seen,,
cub200,m8_analytic,F5,global,leak_auc,last_round,6.0,,censored,6.0,6.0,6,0.9999995135089182,0.9999922157124185,0.5,,
cub200,m8_analytic,F5,global,leak_auc,trajectory,6.0,,censored,6.0,6.0,6,0.9999995135089182,0.9999922157124185,0.5,,
cub200,m8_analytic,F5,global,leak_tpr1,last_round,6.0,,censored,6.0,6.0,6,1.0,1.0,0.01,,
cub200,m8_analytic,F5,global,leak_tpr1,trajectory,6.0,,censored,6.0,6.0,6,1.0,1.0,0.01,,
imagenet_r,m0_fedavg,F1,full,acc,n/a,0.7587912120292266,1,ok,0.7223168908339416,0.8013594115746787,6,0.6928153140945734,0.677990092615632,per-task a0(t)=1/classes_seen,,
imagenet_r,m0_fedavg,F1,full,leak_auc,last_round,6.0,,censored,0.9935704880188055,6.0,6,0.6780628969550911,0.6722111772787789,0.5,,
imagenet_r,m0_fedavg,F1,full,leak_auc,trajectory,6.0,,censored,6.0,6.0,6,0.6780628969550911,0.6722111772787789,0.5,,
imagenet_r,m0_fedavg,F1,full,leak_tpr1,last_round,6.0,,censored,0.9465743074219284,6.0,6,0.07401433560366674,0.0689063937991534,0.01,,
imagenet_r,m0_fedavg,F1,full,leak_tpr1,trajectory,6.0,,censored,6.0,6.0,6,0.07401433560366674,0.0689063937991534,0.01,,
imagenet_r,m1_glfc,F1,full,acc,n/a,6.0,,censored,,,6,0.5478257611536523,0.5053949795473469,per-task a0(t)=1/classes_seen,,
imagenet_r,m1_glfc,F1,full,leak_auc,last_round,6.0,,censored,,,6,0.6450617459274478,0.6362674251413237,0.5,,
imagenet_r,m1_glfc,F1,full,leak_auc,trajectory,6.0,,censored,,,6,0.6450617459274478,0.6362674251413237,0.5,,
imagenet_r,m1_glfc,F1,full,leak_tpr1,last_round,6.0,,censored,,,6,0.05955608956144766,0.05278409582657981,0.01,,
imagenet_r,m1_glfc,F1,full,leak_tpr1,trajectory,6.0,,censored,,,6,0.05955608956144766,0.05278409582657981,0.01,,
