dataset,unit,eps,gamma,delta,fpr,tpr_empirical,tpr_dp_bound,n_shadows,n_pos,n_neg
cifar100,U1,1.0,1.0,1e-05,0.00890735463861044,0.008455918168533853,0.024222700253775143,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.009329304026284686,0.008923526546517293,0.025369677606819466,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.009771241535346501,0.00927423283000487,0.026570988307016655,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.010234114021054527,0.009702873843156356,0.02782920617381045,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.010718913192051276,0.010384802727715537,0.02914702695078292,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.011226677735108135,0.010813443740867025,0.03052727408131019,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.01175849554052157,0.01118363370677058,0.0319729047578165,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.012315506032928261,0.011592791037506088,0.03348701625758664,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.01289890261253308,0.012566975158304919,0.03507285257871158,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.013509935211980266,0.012995616171456404,0.03673381139038496,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.01414991297434576,0.013521675596687774,0.03847345131244096,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.014820207057988586,0.014378957622990745,0.04029549953973086,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.01552225357427048,0.01492450073063809,0.04220385982767291,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.016257556664437952,0.015664880662445202,0.04420262085608493,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.017027691722258997,0.016385776911836337,0.046296064989219135,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.017834308769319095,0.017028738431563564,0.048488677450767896,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.01867913599020783,0.01804188991719435,0.05078515593349729,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.01956398343517065,0.018645884072089624,0.05319042066409815,1024,51325,51175
