dataset,method,unit,eps,gamma,n_clients,seed,p,lambda,clip_C,final_avg_acc,bwt,avg_incremental_acc
cifar100,m9_contractive,U1,8,0.9,10,2,128,100.0,43.14116679260853,0.7193,-0.22688888888888886,0.8305209920634921
cifar100,m9_contractive,U1,8,0.7,10,0,128,100.0,43.14116679260853,0.39509999999999995,-0.6123333333333334,0.6602217857142858
cifar100,m9_contractive,U1,8,0.7,10,1,128,100.0,43.14116679260853,0.3548,-0.657,0.6480253174603174
cifar100,m9_contractive,U1,8,0.7,10,2,128,100.0,43.14116679260853,0.3653,-0.6457777777777777,0.6283579761904762
cifar100,m9_contractive,U1,inf,1.0,10,0,768,0.01,36.69876064533212,0.8835000000000001,-0.047222222222222214,0.92258
cifar100,m9_contractive,U1,inf,1.0,10,1,768,0.01,36.69876064533212,0.8835000000000001,-0.045000000000000005,0.9204687301587301
cifar100,m9_contractive,U1,inf,1.0,10,2,768,0.01,36.69876064533212,0.8835,-0.04911111111111113,0.9193815079365079
cifar100,m9_contractive,U1,inf,0.9,10,0,768,0.01,36.69876064533212,0.8666,-0.0873333333333333,0.9174057142857143
cifar100,m9_contractive,U1,inf,0.9,10,1,768,0.01,36.69876064533212,0.8671,-0.07888888888888887,0.9155787301587301
cifar100,m9_contractive,U1,inf,0.9,10,2,768,0.01,36.69876064533212,0.8673000000000002,-0.08099999999999999,0.9141385317460318
cifar100,m9_contractive,U1,inf,0.7,10,0,768,0.01,36.69876064533212,0.7341000000000001,-0.2532222222222222,0.8744090873015873
cifar100,m9_contractive,U1,inf,0.7,10,1,768,0.01,36.69876064533212,0.7260000000000001,-0.25688888888888894,0.8755153174603174
cifar100,m9_contractive,U1,inf,0.7,10,2,768,0.01,36.69876064533212,0.7444999999999999,-0.23588888888888893,0.8756217460317461
cifar100,m9_contractive,U2,0.5,1.0,10,0,32,0.01,49.908871342539484,0.0077,-0.02133333333333333,0.03308563492063492
cifar100,m9_contractive,U2,0.5,1.0,10,1,32,0.01,49.908871342539484,0.010400000000000001,-0.017777777777777774,0.03142329365079365
cifar100,m9_contractive,U2,0.5,1.0,10,2,32,0.01,49.908871342539484,0.0241,-0.029444444444444447,0.046199920634920635
cifar100,m9_contractive,U2,0.5,0.9,10,0,32,0.01,49.908871342539484,0.0083,-0.027333333333333334,0.032993690476190475
cifar100,m9_contractive,U2,0.5,0.9,10,1,32,0.01,49.908871342539484,0.007000000000000001,-0.024444444444444446,0.03011888888888889
cifar100,m9_contractive,U2,0.5,0.9,10,2,32,0.01,49.908871342539484,0.0251,-0.02711111111111111,0.04580738095238095
