dataset,backbone,n_per_class,ref_quality,class,trial,anisotropy_ratio,mean_cos,median_cos,frac_above_0.8,n_records,ref_pool_size
cifar100,vit_base_patch16_224.augreg_in21k,32,clean_small_pool,71,0,86.3956279333485,0.49524058442971,0.5145169205615675,0.0,32,20
cifar100,vit_base_patch16_224.augreg_in21k,32,clean_small_pool,39,1,86.3956279333485,0.46680394453123353,0.488332139685447,0.0,32,20
cifar100,vit_base_patch16_224.augreg_in21k,32,clean_small_pool,79,2,86.3956279333485,0.44722729727529137,0.46964628748501774,0.0,32,20
cifar100,vit_base_patch16_224.augreg_in21k,32,clean_small_pool,18,3,86.3956279333485,0.4175403704128402,0.41332559801195,0.0,32,20
cifar100,vit_base_patch16_224.augreg_in21k,32,clean_small_pool,86,4,86.3956279333485,0.5464032679115227,0.5590221404618818,0.125,32,20
cifar100,vit_base_patch16_224.augreg_in21k,32,noisy_full,44,0,86.3956279333485,0.3186197045876751,0.3259779281270561,0.0,32,100
cifar100,vit_base_patch16_224.augreg_in21k,32,noisy_full,57,1,86.3956279333485,0.4421437875156372,0.46459954361326206,0.0,32,100
cifar100,vit_base_patch16_224.augreg_in21k,32,noisy_full,99,2,86.3956279333485,0.41679277472865395,0.4441789435793534,0.0,32,100
cifar100,vit_base_patch16_224.augreg_in21k,32,noisy_full,48,3,86.3956279333485,0.46774905963585767,0.4816955437159378,0.0,32,100
cifar100,vit_base_patch16_224.augreg_in21k,32,noisy_full,91,4,86.3956279333485,0.45493766487502973,0.4515456783573527,0.0,32,100
cifar100,vit_base_patch16_224.augreg_in21k,64,clean_full,90,0,86.3956279333485,0.4445558180259076,0.4329650435322458,0.0,64,100
cifar100,vit_base_patch16_224.augreg_in21k,64,clean_full,11,1,86.3956279333485,0.387366920683477,0.3892315477611806,0.0,64,100
cifar100,vit_base_patch16_224.augreg_in21k,64,clean_full,50,2,86.3956279333485,0.44115098242603,0.44492896321416187,0.015625,64,100
cifar100,vit_base_patch16_224.augreg_in21k,64,clean_full,79,3,86.3956279333485,0.4130134966771793,0.39843987318694807,0.015625,64,100
cifar100,vit_base_patch16_224.augreg_in21k,64,clean_full,55,4,86.3956279333485,0.40969670371358435,0.4162805199986592,0.015625,64,100
cifar100,vit_base_patch16_224.augreg_in21k,64,clean_small_pool,7,0,86.3956279333485,0.49864416619917407,0.5180412715864956,0.0,64,20
cifar100,vit_base_patch16_224.augreg_in21k,64,clean_small_pool,9,1,86.3956279333485,0.47871904259637255,0.4710515471308092,0.0,64,20
cifar100,vit_base_patch16_224.augreg_in21k,64,clean_small_pool,29,2,86.3956279333485,0.40152672965169767,0.399436032234615,0.0,64,20
cifar100,vit_base_patch16_224.augreg_in21k,64,clean_small_pool,30,3,86.3956279333485,0.5713531617456667,0.5846586139263685,0.015625,64,20
cifar100,vit_base_patch16_224.augreg_in21k,64,clean_small_pool,94,4,86.3956279333485,0.48501497295954754,0.522793821704751,0.0,64,20
cifar100,vit_base_patch16_224.augreg_in21k,64,noisy_full,3,0,86.3956279333485,0.472916938568213,0.48739719064529635,0.0,64,100
cifar100,vit_base_patch16_224.augreg_in21k,64,noisy_full,99,1,86.3956279333485,0.37784245772246666,0.3866036224974618,0.0,64,100
cifar100,vit_base_patch16_224.augreg_in21k,64,noisy_full,74,2,86.3956279333485,0.46717707537074793,0.4846424896021191,0.0,64,100
cifar100,vit_base_patch16_224.augreg_in21k,64,noisy_full,82,3,86.3956279333485,0.5265866819703127,0.5522007294841,0.015625,64,100
cifar100,vit_base_patch16_224.augreg_in21k,64,noisy_full,18,4,86.3956279333485,0.42030322988701746,0.4376755376538334,0.015625,64,100
cifar100,vit_base_patch16_224.augreg_in21k,128,clean_full,68,0,86.3956279333485,0.532446641189138,0.5467806100135049,0.0078125,128,100
cifar100,vit_base_patch16_224.augreg_in21k,128,clean_full,41,1,86.3956279333485,0.4749693025981575,0.4627610235430574,0.0234375,128,100
cifar100,vit_base_patch16_224.augreg_in21k,128,clean_full,73,2,86.3956279333485,0.488079103585307,0.5064518741065092,0.0,128,100
