method,dataset,n_tasks_requested,n_tasks_actual,seed,final_avg_acc,bwt,avg_incremental_acc,n_ledger_records
M5,camelyon17,5,5,1,0.9344948858692007,-0.04388488550568834,0.9479229462574642,10
M5,camelyon17,5,5,2,0.9343782311739256,-0.0439994533209174,0.9479019799684354,10
M5,cifar100,10,10,0,0.848825,-0.08597222222222223,0.8998937996031746,200
M5,cifar100,10,10,1,0.853425,-0.0678611111111111,0.8970086408730159,200
M5,cifar100,10,10,2,0.855575,-0.07105555555555554,0.8971205357142857,200
M5,cifar100,20,20,0,0.8589,-0.07752631578947371,0.9072743351137381,400
M5,cifar100,20,20,1,0.8536999999999999,-0.06923684210526314,0.9057066649159664,400
M5,cifar100,20,20,2,0.854175,-0.07852631578947371,0.8978228305446059,400
M5,cub200,10,10,0,0.7513383505967759,0.1874209516757746,0.8247039035845644,200
M5,cub200,10,10,1,0.7585127781667753,0.15815899178991627,0.8332433952593146,200
M5,cub200,10,10,2,0.7285423216654637,0.18830560293401466,0.8246557109377004,200
M5,imagenet_r,10,10,0,0.5851384153670742,0.041950828124717565,0.6584464278583303,200
M5,imagenet_r,10,10,1,0.58596464813845,0.025771015845485024,0.6653343644521932,200
M5,imagenet_r,10,10,2,0.5779384353267879,-0.0038164794199927157,0.6708729095929726,200
M5,imagenet_r,20,20,0,0.5885795250410017,-0.018044893599661736,0.683327005709679,400
M5,imagenet_r,20,20,1,0.5964090089562826,0.03168971351274008,0.6891569460286504,400
M5,imagenet_r,20,20,2,0.6041395917988157,0.012350159584239748,0.6877684824341954,400
M8,camelyon17,5,5,0,0.9638303391414734,-0.014480927955502654,0.970131822449671,5
M8,camelyon17,5,5,1,0.9638303391414734,-0.014480927955502654,0.970131822449671,5
M8,camelyon17,5,5,2,0.9638303391414734,-0.014480927955502654,0.970131822449671,5
M8,cifar100,10,10,0,0.8908750000000001,-0.05352777777777778,0.9361497023809523,100
M8,cifar100,10,10,1,0.890875,-0.05024999999999999,0.9332210615079365,100
M8,cifar100,10,10,2,0.8908750000000001,-0.058444444444444445,0.9340528670634921,100
M8,cifar100,20,20,0,0.89085,-0.05392105263157893,0.9393046573897162,200
