dataset,method,family,attack,fpr,tpr,seed
cifar100,m1_glfc,F1,A1_LiRA,0.00036543830709572547,0.0010864883912141262,0
cifar100,m1_glfc,F1,A1_LiRA,0.0003827494478516311,0.0011550056771465486,0
cifar100,m1_glfc,F1,A1_LiRA,0.0004008806328898465,0.0011892643201127599,0
cifar100,m1_glfc,F1,A1_LiRA,0.000419870708444391,0.0012822520653067617,0
cifar100,m1_glfc,F1,A1_LiRA,0.00043976036093027214,0.0013262988919776047,0
cifar100,m1_glfc,F1,A1_LiRA,0.00046059220411451035,0.001360557534943816,0
cifar100,m1_glfc,F1,A1_LiRA,0.00048241087041653687,0.0014143925453192906,0
cifar100,m1_glfc,F1,A1_LiRA,0.0005052631065335679,0.0015171684742179242,0
cifar100,m1_glfc,F1,A1_LiRA,0.0005291978735958442,0.0016003680357072941,0
cifar100,m1_glfc,F1,A1_LiRA,0.0005542664520663107,0.0017080380564582435,0
cifar100,m1_glfc,F1,A1_LiRA,0.0005805225516094895,0.0017618730668337184,0
cifar100,m1_glfc,F1,A1_LiRA,0.0006080224261649427,0.0019527426490740377,0
cifar100,m1_glfc,F1,A1_LiRA,0.0006368249944718586,0.001987001292040249,0
cifar100,m1_glfc,F1,A1_LiRA,0.0006669919663030121,0.001991895383892565,0
cifar100,m1_glfc,F1,A1_LiRA,0.0006985879746785249,0.0021093535883481463,0
cifar100,m1_glfc,F1,A1_LiRA,0.0007316807143427193,0.0021778708742805687,0
cifar100,m1_glfc,F1,A1_LiRA,0.0007663410868007462,0.0022072354253944637,0
cifar100,m1_glfc,F1,A1_LiRA,0.0008026433522257174,0.0022561763439176226,0
cifar100,m1_glfc,F1,A1_LiRA,0.0008406652885618325,0.0023393759054069927,0
cifar100,m1_glfc,F1,A1_LiRA,0.0008804883581643465,0.0024764104772718376,0
cifar100,m1_glfc,F1,A1_LiRA,0.0009221978823334322,0.002657491875807525,0
cifar100,m1_glfc,F1,A1_LiRA,0.0009658832241158709,0.0028238909987862654,0
cifar100,m1_glfc,F1,A1_LiRA,0.001011637979766207,0.002931561019537215,0
cifar100,m1_glfc,F1,A1_LiRA,0.001059560179277616,0.0030734896832543754,0
cifar100,m1_glfc,F1,A1_LiRA,0.0011097524964120721,0.003132218785482166,0
cifar100,m1_glfc,F1,A1_LiRA,0.0011623224686798518,0.003249676989937747,0
cifar100,m1_glfc,F1,A1_LiRA,0.001217382727739662,0.003342664735131749,0
cifar100,m1_glfc,F1,A1_LiRA,0.0012750512407130128,0.003420970204768803,0
cifar100,m1_glfc,F1,A1_LiRA,0.0013354515629298987,0.0034845933988489094,0
cifar100,m1_glfc,F1,A1_LiRA,0.0013987131026472386,0.0035922634195998593,0
cifar100,m1_glfc,F1,A1_LiRA,0.0014649713983072847,0.003675462981089229,0
cifar100,m1_glfc,F1,A1_LiRA,0.0015343684089300133,0.003719509807760072,0
cifar100,m1_glfc,F1,A1_LiRA,0.0016070528182616384,0.003910379390000392,0
cifar100,m1_glfc,F1,A1_LiRA,0.0016831803533309566,0.004018049410751341,0
cifar100,m1_glfc,F1,A1_LiRA,0.001762914118095948,0.004135507615206922,0
cifar100,m1_glfc,F1,A1_LiRA,0.0018464249428955426,0.004292118554481031,0
cifar100,m1_glfc,F1,A1_LiRA,0.0019338917504552321,0.004414470850788927,0
cifar100,m1_glfc,F1,A1_LiRA,0.0020255019392306666,0.004610234524881563,0
cifar100,m1_glfc,F1,A1_LiRA,0.00212145178491063,0.004820680474531146,0
cifar100,m1_glfc,F1,A1_LiRA,0.002221946860939524,0.004987079597509886,0
cifar100,m1_glfc,F1,A1_LiRA,0.0023272024789604074,0.005246466465682628,0
cifar100,m1_glfc,F1,A1_LiRA,0.002437444150122222,0.005417759680513684,0
cifar100,m1_glfc,F1,A1_LiRA,0.0025529080682395165,0.005491171058298422,0
cifar100,m1_glfc,F1,A1_LiRA,0.0026738416158399465,0.005682040640538742,0
cifar100,m1_glfc,F1,A1_LiRA,0.002800503894183631,0.005877804314631377,0
cifar100,m1_glfc,F1,A1_LiRA,0.0029331662783900424,0.00606377980501938,0
cifar100,m1_glfc,F1,A1_LiRA,0.003072112998861759,0.006288908030225911,0
cifar100,m1_glfc,F1,A1_LiRA,0.0032176417502507355,0.006543400806546337,0
cifar100,m1_glfc,F1,A1_LiRA,0.003370064329271928,0.0066902235621158134,0
cifar100,m1_glfc,F1,A1_LiRA,0.00352970730273065,0.006910457695470029,0
cifar100,m1_glfc,F1,A1_LiRA,0.0036969127071950283,0.007091539094005716,0
cifar100,m1_glfc,F1,A1_LiRA,0.003872038781812557,0.00736071414588309,0
cifar100,m1_glfc,F1,A1_LiRA,0.004055460735840828,0.007629889197760463,0
cifar100,m1_glfc,F1,A1_LiRA,0.0042475715525368985,0.00785991151481931,0
cifar100,m1_glfc,F1,A1_LiRA,0.004448782831127585,0.008329744332641635,0
cifar100,m1_glfc,F1,A1_LiRA,0.004659525668664682,0.008760424415645432,0
cifar100,m1_glfc,F1,A1_LiRA,0.004880251583654433,0.00910790493715986,0
cifar100,m1_glfc,F1,A1_LiRA,0.005111433483440166,0.009386868172741866,0
cifar100,m1_glfc,F1,A1_LiRA,0.0053535666774107244,0.009778395520927137,0
cifar100,m1_glfc,F1,A1_LiRA,0.005607169938205458,0.01017971105281704,0
cifar100,m1_glfc,F1,A1_LiRA,0.005872786613189483,0.010644649778787048,0
cifar100,m1_glfc,F1,A1_LiRA,0.006150985788580504,0.011026388943267688,0
cifar100,m1_glfc,F1,A1_LiRA,0.00644236350872137,0.011408128107748326,0
cifar100,m1_glfc,F1,A1_LiRA,0.006747544053110693,0.011721349986296543,0
cifar100,m1_glfc,F1,A1_LiRA,0.0070671812739274914,0.012098195058924866,0
cifar100,m1_glfc,F1,A1_LiRA,0.007401959996915644,0.012572921968599507,0
cifar100,m1_glfc,F1,A1_LiRA,0.007752597488629464,0.013042754786421832,0
cifar100,m1_glfc,F1,A1_LiRA,0.008119844993184008,0.01359089307388121,0
cifar100,m1_glfc,F1,A1_LiRA,0.008504489341802677,0.01400689088132806,0
cifar100,m1_glfc,F1,A1_LiRA,0.00890735463861044,0.01461375827101523,0
cifar100,m1_glfc,F1,A1_LiRA,0.009329304026284686,0.015147214282917662,0
cifar100,m1_glfc,F1,A1_LiRA,0.009771241535346501,0.015915586703731256,0
cifar100,m1_glfc,F1,A1_LiRA,0.010234114021054527,0.016537136368975372,0
cifar100,m1_glfc,F1,A1_LiRA,0.010718913192051276,0.01739360244313065,0
cifar100,m1_glfc,F1,A1_LiRA,0.011226677735108135,0.018142398496534984,0
cifar100,m1_glfc,F1,A1_LiRA,0.01175849554052157,0.018900982733643944,0
cifar100,m1_glfc,F1,A1_LiRA,0.012315506032928261,0.01960573196037743,0
cifar100,m1_glfc,F1,A1_LiRA,0.01289890261253308,0.020403468932304922,0
cifar100,m1_glfc,F1,A1_LiRA,0.013509935211980266,0.021279511373869464,0
cifar100,m1_glfc,F1,A1_LiRA,0.01414991297434576,0.022194706550252536,0
cifar100,m1_glfc,F1,A1_LiRA,0.014820207057988586,0.023060960808112447,0
cifar100,m1_glfc,F1,A1_LiRA,0.01552225357427048,0.02402020281116636,0
cifar100,m1_glfc,F1,A1_LiRA,0.016257556664437952,0.025111585294232804,0
cifar100,m1_glfc,F1,A1_LiRA,0.017027691722258997,0.0261589209506284,0
cifar100,m1_glfc,F1,A1_LiRA,0.017834308769319095,0.02707901021886379,0
