dataset,method,T,eps_target,eps_analytical,eps_audited_lb,eps_audited_ci_lo,eps_audited_ci_hi,final_acc,bwt,seed,ci_lo,ci_hi
imagenet_r,m9_contractive_U1,10,4.0,4.0,,,,0.32599356059691675,-0.14198964537044578,2,0.3149563985453958,0.3329506691079406
imagenet_r,m9_contractive_U1,10,8.0,8.0,,,,0.3909524878304676,-0.0929965250796207,0,0.37188859915245814,0.39793197732889946
imagenet_r,m9_contractive_U1,10,8.0,8.0,,,,0.3815781362482713,-0.08502422334518654,1,0.37188859915245814,0.39793197732889946
imagenet_r,m9_contractive_U1,10,8.0,8.0,,,,0.38220024064329755,-0.12132205151372538,2,0.37188859915245814,0.39793197732889946
imagenet_r,m9_contractive_U1,10,inf,inf,,,,0.6348495441088551,-0.09517643613701074,0,0.6325411411805656,0.6357840330730377
imagenet_r,m9_contractive_U1,10,inf,inf,,,,0.6340876430949949,-0.08959611849287807,1,0.6325411411805656,0.6357840330730377
imagenet_r,m9_contractive_U1,10,inf,inf,,,,0.633550574176555,-0.09727809549862891,2,0.6325411411805656,0.6357840330730377
imagenet_r,m9_contractive_U2,10,0.5,0.5,,,,0.003262934412953798,-0.014884346824997298,0,0.0003105737729381178,0.008202690044671904
imagenet_r,m9_contractive_U2,10,0.5,0.5,,,,0.006088682175844183,-0.013476349493898096,1,0.0003105737729381178,0.008202690044671904
imagenet_r,m9_contractive_U2,10,0.5,0.5,,,,0.0034182791376170503,-0.009419952526042044,2,0.0003105737729381178,0.008202690044671904
imagenet_r,m9_contractive_U2,10,1.0,1.0,,,,0.004586563855098076,-0.01339384615928809,0,0.003228181693410071,0.005996825723805103
imagenet_r,m9_contractive_U2,10,1.0,1.0,,,,0.005182285255681849,-0.013299994193413949,1,0.003228181693410071,0.005996825723805103
imagenet_r,m9_contractive_U2,10,1.0,1.0,,,,0.0040686620150428374,-0.008657089443528922,2,0.003228181693410071,0.005996825723805103
imagenet_r,m9_contractive_U2,10,2.0,2.0,,,,0.0059361549286208026,-0.013050219737574094,0,0.0046090225325661665,0.007032121760868956
imagenet_r,m9_contractive_U2,10,2.0,2.0,,,,0.006240112668028678,-0.013837910047472134,1,0.0046090225325661665,0.007032121760868956
imagenet_r,m9_contractive_U2,10,2.0,2.0,,,,0.005285448843503203,-0.00842300024929956,2,0.0046090225325661665,0.007032121760868956
imagenet_r,m9_contractive_U2,10,4.0,4.0,,,,0.007567111001310012,-0.014309338724547323,0,0.0020648585182058542,0.009683841085550118
imagenet_r,m9_contractive_U2,10,4.0,4.0,,,,0.005478106408645365,-0.01641096309693232,1,0.0020648585182058542,0.009683841085550118
imagenet_r,m9_contractive_U2,10,4.0,4.0,,,,0.004577831995678581,-0.012551540233395556,2,0.0020648585182058542,0.009683841085550118
imagenet_r,m9_contractive_U2,10,8.0,8.0,,,,0.005640695651332827,-0.019550094347945808,0,0.003965801479977372,0.00896863113273797
imagenet_r,m9_contractive_U2,10,8.0,8.0,,,,0.007588718136440117,-0.024652696577513237,1,0.003965801479977372,0.00896863113273797
imagenet_r,m9_contractive_U2,10,8.0,8.0,,,,0.006172235131300068,-0.016034835268369147,2,0.003965801479977372,0.00896863113273797
imagenet_r,m9_contractive_U2,10,inf,inf,,,,0.6231255171059025,-0.0808652162595061,0,0.6178963961835511,0.6294078505213478
imagenet_r,m9_contractive_U2,10,inf,inf,,,,0.6261870924407431,-0.08695922408040485,1,0.6178963961835511,0.6294078505213478
imagenet_r,m9_contractive_U2,10,inf,inf,,,,0.6216437605107028,-0.09159728831764335,2,0.6178963961835511,0.6294078505213478
cifar100,m0_fedavg,10,inf,inf,,,,0.30970000000000003,-0.6911111111111112,0,0.264324713765419,0.4007419529012477
cifar100,m0_fedavg,10,inf,inf,,,,0.32489999999999997,-0.6877777777777777,1,0.264324713765419,0.4007419529012477
cifar100,m0_fedavg,10,inf,inf,,,,0.363,-0.6322222222222222,2,0.264324713765419,0.4007419529012477
cub200,m0_fedavg,10,inf,inf,,,,0.41049164641023017,-0.47236522377314,0,0.2344618630773664,0.5379990541317189
cub200,m0_fedavg,10,inf,inf,,,,0.4314684539919539,-0.5043493063574167,1,0.2344618630773664,0.5379990541317189
cub200,m0_fedavg,10,inf,inf,,,,0.31673127541144375,-0.5993073788458523,2,0.2344618630773664,0.5379990541317189
imagenet_r,m0_fedavg,10,inf,inf,,,,0.2531857778862122,-0.5177024231372144,0,0.1932363308939082,0.302766191124604
imagenet_r,m0_fedavg,10,inf,inf,,,,0.22382520912567272,-0.5531484690179459,1,0.1932363308939082,0.302766191124604
imagenet_r,m0_fedavg,10,inf,inf,,,,0.2669927960158835,-0.5083872309973715,2,0.1932363308939082,0.302766191124604
cifar100,m8_analytic,10,inf,inf,,,,0.8833,-0.045555555555555544,0,0.8832999999999995,0.8833000000000002
cifar100,m8_analytic,10,inf,inf,,,,0.8833,-0.04455555555555556,1,0.8832999999999995,0.8833000000000002
cifar100,m8_analytic,10,inf,inf,,,,0.8833,-0.04911111111111113,2,0.8832999999999995,0.8833000000000002
cub200,m8_analytic,10,inf,inf,,,,0.8714578113541848,-0.04457429132348409,0,0.8711763162981621,0.8716068466916693
cub200,m8_analytic,10,inf,inf,,,,0.8712935092728316,-0.045733657945309626,1,0.8711763162981621,0.8716068466916693
cub200,m8_analytic,10,inf,inf,,,,0.8714234238577306,-0.05419905671842597,2,0.8711763162981621,0.8716068466916693
imagenet_r,m8_analytic,10,inf,inf,,,,0.6358558105207581,-0.09329234791471516,0,0.633426189389964,0.6368229750427581
imagenet_r,m8_analytic,10,inf,inf,,,,0.6350166847492329,-0.0851993034671947,1,0.633426189389964,0.6368229750427581
imagenet_r,m8_analytic,10,inf,inf,,,,0.634501251379092,-0.09235171884706578,2,0.633426189389964,0.6368229750427581
