method,dataset,n_tasks,ledger_hash,unit,window_W,sigma,delta,T,m_T,m_T_passes,eps,regime,observed
M1,cifar100,10,9fe641be323b6bde,U4,3,2.0,1e-05,127,254.00000000000006,nan,69.98922843386907,accumulating,0
M1,cifar100,10,9fe641be323b6bde,U4,3,2.0,1e-05,153,306.00000000000006,nan,80.22080138854307,accumulating,0
M1,cifar100,10,9fe641be323b6bde,U4,3,2.0,1e-05,184,368.00000000000006,nan,92.0298610288898,accumulating,0
M1,cifar100,10,9fe641be323b6bde,U4,3,2.0,1e-05,222,444.0000000000001,nan,106.06038232780433,accumulating,0
M1,cifar100,10,9fe641be323b6bde,U4,3,2.0,1e-05,268,536.0000000000001,nan,122.54763148300526,accumulating,0
M1,cifar100,10,9fe641be323b6bde,U4,3,2.0,1e-05,324,648.0000000000001,nan,142.08210498020384,accumulating,0
M1,cifar100,10,9fe641be323b6bde,U4,3,2.0,1e-05,391,782.0000000000001,nan,164.9297942994614,accumulating,0
M1,cifar100,10,9fe641be323b6bde,U4,3,2.0,1e-05,472,944.0000000000002,nan,191.78597520398404,accumulating,0
M1,cifar100,10,9fe641be323b6bde,U4,3,2.0,1e-05,569,1138.0000000000002,nan,223.19332006566768,accumulating,0
M1,cifar100,10,9fe641be323b6bde,U4,3,2.0,1e-05,687,1374.0000000000002,nan,260.98445071893406,accumulating,0
M1,cifar100,10,9fe641be323b6bde,U4,3,2.0,1e-05,829,1658.0000000000005,nan,304.9445301109602,accumulating,0
M1,cifar100,10,9fe641be323b6bde,U4,3,2.0,1e-05,1000,2000.0000000000005,nan,357.7783743320657,accumulating,0
