dataset,method,seed,task_k,task_T,elapsed,acc,acc_train
cifar100,m4_proto,4,1,1,0,0.888,0.911
cifar100,m4_proto,4,1,2,1,0.864,0.88225
cifar100,m4_proto,4,1,3,2,0.825,0.8395
cifar100,m4_proto,4,1,4,3,0.819,0.827
cifar100,m4_proto,4,1,5,4,0.791,0.80575
cifar100,m4_proto,4,1,6,5,0.779,0.79575
cifar100,m4_proto,4,1,7,6,0.761,0.77925
cifar100,m4_proto,4,1,8,7,0.754,0.77425
cifar100,m4_proto,4,1,9,8,0.745,0.76225
cifar100,m4_proto,4,2,2,0,0.866,0.87225
cifar100,m4_proto,4,2,3,1,0.863,0.86925
cifar100,m4_proto,4,2,4,2,0.854,0.86225
cifar100,m4_proto,4,2,5,3,0.828,0.8395
cifar100,m4_proto,4,2,6,4,0.824,0.8345
cifar100,m4_proto,4,2,7,5,0.814,0.8265
cifar100,m4_proto,4,2,8,6,0.807,0.819
cifar100,m4_proto,4,2,9,7,0.787,0.80525
cifar100,m4_proto,4,3,3,0,0.86,0.86
cifar100,m4_proto,4,3,4,1,0.844,0.8475
cifar100,m4_proto,4,3,5,2,0.834,0.8395
cifar100,m4_proto,4,3,6,3,0.812,0.81725
cifar100,m4_proto,4,3,7,4,0.804,0.81175
cifar100,m4_proto,4,3,8,5,0.798,0.807
cifar100,m4_proto,4,3,9,6,0.794,0.8045
cifar100,m4_proto,4,4,4,0,0.848,0.8485
cifar100,m4_proto,4,4,5,1,0.842,0.83675
cifar100,m4_proto,4,4,6,2,0.838,0.83375
cifar100,m4_proto,4,4,7,3,0.819,0.81725
cifar100,m4_proto,4,4,8,4,0.81,0.811
cifar100,m4_proto,4,4,9,5,0.795,0.79575
cifar100,m4_proto,4,5,5,0,0.82,0.81875
cifar100,m4_proto,4,5,6,1,0.805,0.80425
cifar100,m4_proto,4,5,7,2,0.796,0.79375
cifar100,m4_proto,4,5,8,3,0.778,0.77875
cifar100,m4_proto,4,5,9,4,0.773,0.7715
cifar100,m4_proto,4,6,6,0,0.824,0.84
cifar100,m4_proto,4,6,7,1,0.819,0.829
cifar100,m4_proto,4,6,8,2,0.806,0.8175
cifar100,m4_proto,4,6,9,3,0.8,0.80875
cifar100,m4_proto,4,7,7,0,0.773,0.7695
cifar100,m4_proto,4,7,8,1,0.759,0.759
cifar100,m4_proto,4,7,9,2,0.733,0.739
cifar100,m4_proto,4,8,8,0,0.794,0.8115
cifar100,m4_proto,4,8,9,1,0.789,0.805
cifar100,m4_proto,4,9,9,0,0.737,0.7475
