dataset,method,family,view,elapsed,acc_mean,acc_ci_lo,acc_ci_hi,acc_norm,tpr1_mean,tpr1_ci_lo,tpr1_ci_hi,tpr1_norm,auc_mean,auc_ci_lo,auc_ci_hi,auc_norm,leak_norm
cifar100,m4_proto,F2,full,2,0.8242499999999999,0.8022000000000002,0.84170125,0.9802640978019063,0.3434382945433209,0.31391409951634075,0.37400427277649656,1.0,0.8826480942983708,0.8731303797435811,0.8923753323934291,1.0,1.0
cifar100,m4_proto,F2,full,3,0.81005,0.7862962500000001,0.8282999999999999,0.968706538884305,0.3434382945433209,0.31391409951634075,0.37400427277649656,1.0,0.8826480942983708,0.8731303797435811,0.8923753323934291,1.0,1.0
cifar100,m4_proto,F2,full,4,0.7977000000000001,0.7759974999999998,0.8168000000000001,0.9574099288877745,0.3434382945433209,0.31391409951634075,0.37400427277649656,1.0,0.8826480942983708,0.8731303797435811,0.8923753323934291,1.0,1.0
cifar100,m4_proto,F2,full,5,0.7873499999999999,0.7659975,0.8034012499999998,0.9474569385686396,0.3434382945433209,0.31391409951634075,0.37400427277649656,1.0,0.8826480942983708,0.8731303797435811,0.8923753323934291,1.0,1.0
cifar100,m4_proto,F2,full,6,0.77645,0.7563487500000001,0.79260125,0.9361501238656985,0.3434382945433209,0.31391409951634075,0.37400427277649656,1.0,0.8826480942983708,0.8731303797435811,0.8923753323934291,1.0,1.0
cifar100,m4_proto,F2,global,0,0.8686999999999999,0.8472362499999998,0.8890562499999998,1.0,0.057633891587206186,0.051352535845206985,0.06616781886437365,1.0,0.681064434196777,0.6761605472213414,0.6860730302906889,1.0,1.0
cifar100,m4_proto,F2,global,1,0.8454499999999999,0.8258987499999997,0.8625012499999998,0.9960201644998675,0.057633891587206186,0.051352535845206985,0.06616781886437365,1.0,0.681064434196777,0.6761605472213414,0.6860730302906889,1.0,1.0
cifar100,m4_proto,F2,global,2,0.8242499999999999,0.8022000000000002,0.84170125,0.9802640978019063,0.057633891587206186,0.051352535845206985,0.06616781886437365,1.0,0.681064434196777,0.6761605472213414,0.6860730302906889,1.0,1.0
cifar100,m4_proto,F2,global,3,0.81005,0.7862962500000001,0.8282999999999999,0.968706538884305,0.057633891587206186,0.051352535845206985,0.06616781886437365,1.0,0.681064434196777,0.6761605472213414,0.6860730302906889,1.0,1.0
cifar100,m4_proto,F2,global,4,0.7977000000000001,0.7759974999999998,0.8168000000000001,0.9574099288877745,0.057633891587206186,0.051352535845206985,0.06616781886437365,1.0,0.681064434196777,0.6761605472213414,0.6860730302906889,1.0,1.0
cifar100,m4_proto,F2,global,5,0.7873499999999999,0.7659975,0.8034012499999998,0.9474569385686396,0.057633891587206186,0.051352535845206985,0.06616781886437365,1.0,0.681064434196777,0.6761605472213414,0.6860730302906889,1.0,1.0
cifar100,m4_proto,F2,global,6,0.77645,0.7563487500000001,0.79260125,0.9361501238656985,0.057633891587206186,0.051352535845206985,0.06616781886437365,1.0,0.681064434196777,0.6761605472213414,0.6860730302906889,1.0,1.0
cifar100,m5_hybrid_replay,F1,full,0,0.9115500000000001,0.8945937500000002,0.9262499999999998,1.0,0.03067712968206456,0.026567814200587986,0.035506000863971925,1.0,0.5663378895054983,0.558349687303619,0.5749298057070157,1.0,1.0
cifar100,m5_hybrid_replay,F1,full,1,0.8787,0.85824875,0.8961512500000002,0.9850488675147377,0.041954534422781325,0.03552159383708806,0.04875681482035413,1.5454047497945924,0.5917951128932188,0.5830966350646477,0.6011248498919913,1.3837508786831467,1.5454047497945924
cifar100,m5_hybrid_replay,F1,full,2,0.8741,0.8559475,0.8907000000000002,0.989392646602544,0.048669201520912544,0.04165045490461759,0.05579178359060795,1.8701435893423055,0.6050267532854053,0.5954846778126534,0.6149031616374904,1.583209144401561,1.8701435893423055
cifar100,m5_hybrid_replay,F1,full,3,0.8756000000000002,0.85739875,0.8946549999999998,0.9966784495368113,0.05227732384111318,0.044730364280375655,0.06066784218163535,2.0446418091474623,0.6143550786915712,0.6048412475195861,0.6247185359150835,1.7238275070854197,2.0446418091474623
cifar100,m5_hybrid_replay,F1,full,4,0.86595,0.8497962499999998,0.8822512499999999,0.9890865320686139,0.05787557640967559,0.04999400065008877,0.06685970752137839,2.315387925975194,0.6205051200975074,0.6109108801274448,0.6312737450797407,1.8165353314039243,2.315387925975194
