dataset,method,family,attack,fpr,tpr,seed
cifar100,m1_glfc,F1,A1_LiRA,0.0002523539170434766,0.0069720626503657875,0
cifar100,m1_glfc,F1,A1_LiRA,0.00026430814869741055,0.0069720626503657875,0
cifar100,m1_glfc,F1,A1_LiRA,0.00027682866303920667,0.0069720626503657875,0
cifar100,m1_glfc,F1,A1_LiRA,0.0002899422853882875,0.0069720626503657875,0
cifar100,m1_glfc,F1,A1_LiRA,0.0003036771118035457,0.007070260715863898,0
cifar100,m1_glfc,F1,A1_LiRA,0.0003180625692794119,0.007070260715863898,0
cifar100,m1_glfc,F1,A1_LiRA,0.00033312947879346737,0.007070260715863898,0
cifar100,m1_glfc,F1,A1_LiRA,0.0003489101213406774,0.007070260715863898,0
cifar100,m1_glfc,F1,A1_LiRA,0.00036543830709572547,0.007070260715863898,0
cifar100,m1_glfc,F1,A1_LiRA,0.0003827494478516311,0.007070260715863898,0
cifar100,m1_glfc,F1,A1_LiRA,0.0004008806328898465,0.0071193597486129525,0
cifar100,m1_glfc,F1,A1_LiRA,0.000419870708444391,0.0071193597486129525,0
cifar100,m1_glfc,F1,A1_LiRA,0.00043976036093027214,0.007463052977856336,0
cifar100,m1_glfc,F1,A1_LiRA,0.00046059220411451035,0.007463052977856336,0
cifar100,m1_glfc,F1,A1_LiRA,0.00048241087041653687,0.007463052977856336,0
cifar100,m1_glfc,F1,A1_LiRA,0.0005052631065335679,0.00790494427259783,0
cifar100,m1_glfc,F1,A1_LiRA,0.0005291978735958442,0.00790494427259783,0
cifar100,m1_glfc,F1,A1_LiRA,0.0005542664520663107,0.00800314233809594,0
cifar100,m1_glfc,F1,A1_LiRA,0.0005805225516094895,0.00800314233809594,0
cifar100,m1_glfc,F1,A1_LiRA,0.0006080224261649427,0.008052241370844994,0
cifar100,m1_glfc,F1,A1_LiRA,0.0006368249944718586,0.008101340403594049,0
cifar100,m1_glfc,F1,A1_LiRA,0.0006669919663030121,0.008101340403594049,0
cifar100,m1_glfc,F1,A1_LiRA,0.0006985879746785249,0.008101340403594049,0
cifar100,m1_glfc,F1,A1_LiRA,0.0007316807143427193,0.008346835567339323,0
cifar100,m1_glfc,F1,A1_LiRA,0.0007663410868007462,0.008346835567339323,0
cifar100,m1_glfc,F1,A1_LiRA,0.0008026433522257174,0.008346835567339323,0
cifar100,m1_glfc,F1,A1_LiRA,0.0008406652885618325,0.00942701428781853,0
cifar100,m1_glfc,F1,A1_LiRA,0.0008804883581643465,0.009967103648058133,0
cifar100,m1_glfc,F1,A1_LiRA,0.0009221978823334322,0.010261697844552463,0
cifar100,m1_glfc,F1,A1_LiRA,0.0009658832241158709,0.010261697844552463,0
cifar100,m1_glfc,F1,A1_LiRA,0.001011637979766207,0.0106544901065449,0
cifar100,m1_glfc,F1,A1_LiRA,0.001059560179277616,0.010752688172043012,0
cifar100,m1_glfc,F1,A1_LiRA,0.0011097524964120721,0.010752688172043012,0
cifar100,m1_glfc,F1,A1_LiRA,0.0011623224686798518,0.010899985270290175,0
cifar100,m1_glfc,F1,A1_LiRA,0.001217382727739662,0.011243678499533559,0
cifar100,m1_glfc,F1,A1_LiRA,0.0012750512407130128,0.011931064958020326,0
cifar100,m1_glfc,F1,A1_LiRA,0.0013354515629298987,0.012422055285510875,0
cifar100,m1_glfc,F1,A1_LiRA,0.0013987131026472386,0.012520253351008984,0
cifar100,m1_glfc,F1,A1_LiRA,0.0014649713983072847,0.01266755044925615,0
cifar100,m1_glfc,F1,A1_LiRA,0.0015343684089300133,0.01266755044925615,0
cifar100,m1_glfc,F1,A1_LiRA,0.0016070528182616384,0.012814847547503314,0
cifar100,m1_glfc,F1,A1_LiRA,0.0016831803533309566,0.013060342711248589,0
cifar100,m1_glfc,F1,A1_LiRA,0.001762914118095948,0.013404035940491972,0
cifar100,m1_glfc,F1,A1_LiRA,0.0018464249428955426,0.013747729169735356,0
cifar100,m1_glfc,F1,A1_LiRA,0.0019338917504552321,0.01418962046447685,0
cifar100,m1_glfc,F1,A1_LiRA,0.0020255019392306666,0.014778808857465508,0
cifar100,m1_glfc,F1,A1_LiRA,0.00212145178491063,0.015122502086708891,0
cifar100,m1_glfc,F1,A1_LiRA,0.002221946860939524,0.015269799184956056,0
cifar100,m1_glfc,F1,A1_LiRA,0.0023272024789604074,0.015760789512446603,0
cifar100,m1_glfc,F1,A1_LiRA,0.002437444150122222,0.015957185643442826,0
cifar100,m1_glfc,F1,A1_LiRA,0.0025529080682395165,0.016104482741689987,0
cifar100,m1_glfc,F1,A1_LiRA,0.0026738416158399465,0.016497275003682428,0
cifar100,m1_glfc,F1,A1_LiRA,0.002800503894183631,0.0167427701674277,0
cifar100,m1_glfc,F1,A1_LiRA,0.0029331662783900424,0.017872047920655963,0
cifar100,m1_glfc,F1,A1_LiRA,0.003072112998861759,0.018215741149899347,0
cifar100,m1_glfc,F1,A1_LiRA,0.0032176417502507355,0.018657632444640842,0
cifar100,m1_glfc,F1,A1_LiRA,0.003370064329271928,0.018903127608386115,0
cifar100,m1_glfc,F1,A1_LiRA,0.00352970730273065,0.018903127608386115,0
cifar100,m1_glfc,F1,A1_LiRA,0.0036969127071950283,0.019295919870378552,0
cifar100,m1_glfc,F1,A1_LiRA,0.003872038781812557,0.019836009230618158,0
cifar100,m1_glfc,F1,A1_LiRA,0.004055460735840828,0.020425197623606815,0
cifar100,m1_glfc,F1,A1_LiRA,0.0042475715525368985,0.020965286983846417,0
cifar100,m1_glfc,F1,A1_LiRA,0.004448782831127585,0.021554475376835077,0
cifar100,m1_glfc,F1,A1_LiRA,0.004659525668664682,0.02199636667157657,0
cifar100,m1_glfc,F1,A1_LiRA,0.004880251583654433,0.023027446359306723,0
cifar100,m1_glfc,F1,A1_LiRA,0.005111433483440166,0.023272941523051996,0
cifar100,m1_glfc,F1,A1_LiRA,0.0053535666774107244,0.0238130308832916,0
cifar100,m1_glfc,F1,A1_LiRA,0.005607169938205458,0.024009427014287817,0
cifar100,m1_glfc,F1,A1_LiRA,0.005872786613189483,0.02420582314528404,0
cifar100,m1_glfc,F1,A1_LiRA,0.006150985788580504,0.024500417341778366,0
cifar100,m1_glfc,F1,A1_LiRA,0.00644236350872137,0.02513870476751608,0
cifar100,m1_glfc,F1,A1_LiRA,0.006747544053110693,0.025531497029508517,0
cifar100,m1_glfc,F1,A1_LiRA,0.0070671812739274914,0.026071586389748123,0
cifar100,m1_glfc,F1,A1_LiRA,0.007401959996915644,0.026906269946482056,0
cifar100,m1_glfc,F1,A1_LiRA,0.007752597488629464,0.028330141896204645,0
cifar100,m1_glfc,F1,A1_LiRA,0.008119844993184008,0.0289193302891933,0
cifar100,m1_glfc,F1,A1_LiRA,0.008504489341802677,0.02950851868218196,0
cifar100,m1_glfc,F1,A1_LiRA,0.00890735463861044,0.030048608042421564,0
