dataset,method,family,elapsed,auc,auc_ci_lo,auc_ci_hi,tpr1,tpr1_ci_lo,tpr1_ci_hi,tpr01,tpr01_ci_lo,tpr01_ci_hi,n_seeds,n_shadows,view,identical_by_construction
cifar100,m0_fedavg,F1,3,0.567930525832158,0.5631536362844107,0.5730313689839499,0.02736351238396903,0.02397032200826129,0.030981750158209462,0.005904809389037976,0.003728774686400816,0.008507107492123129,5,"n/a (per-seed, see a1_lira_pertask_*)",aggregate,True
cifar100,m0_fedavg,F1,3,0.567930525832158,0.5631536362844107,0.5730313689839499,0.02736351238396903,0.02397032200826129,0.030981750158209462,0.005904809389037976,0.003728774686400816,0.008507107492123129,5,"n/a (per-seed, see a1_lira_pertask_*)",global,True
cifar100,m0_fedavg,F1,4,0.5662962922070873,0.5613709138086876,0.571494011689712,0.026378562804588935,0.02288520857175336,0.030232014853315555,0.005552867107572136,0.0034428029948370942,0.008005245085162262,5,"n/a (per-seed, see a1_lira_pertask_*)",full,
cifar100,m0_fedavg,F1,4,0.5662962922070873,0.5613709138086876,0.571494011689712,0.026378562804588935,0.02288520857175336,0.030232014853315555,0.005552867107572136,0.0034428029948370942,0.008005245085162262,5,"n/a (per-seed, see a1_lira_pertask_*)",aggregate,True
cifar100,m0_fedavg,F1,4,0.5662962922070873,0.5613709138086876,0.571494011689712,0.026378562804588935,0.02288520857175336,0.030232014853315555,0.005552867107572136,0.0034428029948370942,0.008005245085162262,5,"n/a (per-seed, see a1_lira_pertask_*)",global,True
cifar100,m0_fedavg,F1,5,0.5646561672634154,0.5595295056141102,0.5700390110268314,0.02599484795604632,0.022454929341881393,0.03012529696173515,0.005301130614579209,0.003151322778747799,0.007748689853741548,5,"n/a (per-seed, see a1_lira_pertask_*)",full,
cifar100,m0_fedavg,F1,5,0.5646561672634154,0.5595295056141102,0.5700390110268314,0.02599484795604632,0.022454929341881393,0.03012529696173515,0.005301130614579209,0.003151322778747799,0.007748689853741548,5,"n/a (per-seed, see a1_lira_pertask_*)",aggregate,True
cifar100,m0_fedavg,F1,5,0.5646561672634154,0.5595295056141102,0.5700390110268314,0.02599484795604632,0.022454929341881393,0.03012529696173515,0.005301130614579209,0.003151322778747799,0.007748689853741548,5,"n/a (per-seed, see a1_lira_pertask_*)",global,True
cifar100,m0_fedavg,F1,6,0.5631560433536443,0.5579274316355016,0.5687910326594868,0.025530479668001115,0.021900755103694027,0.029757798615553624,0.005051838165207573,0.0029931393765051653,0.007599204592550182,5,"n/a (per-seed, see a1_lira_pertask_*)",full,
cifar100,m0_fedavg,F1,6,0.5631560433536443,0.5579274316355016,0.5687910326594868,0.025530479668001115,0.021900755103694027,0.029757798615553624,0.005051838165207573,0.0029931393765051653,0.007599204592550182,5,"n/a (per-seed, see a1_lira_pertask_*)",aggregate,True
cifar100,m0_fedavg,F1,6,0.5631560433536443,0.5579274316355016,0.5687910326594868,0.025530479668001115,0.021900755103694027,0.029757798615553624,0.005051838165207573,0.0029931393765051653,0.007599204592550182,5,"n/a (per-seed, see a1_lira_pertask_*)",global,True
cifar100,m1_glfc,F1,0,0.5552391660939108,0.5484027290623479,0.5627095457435,0.027399269787455993,0.02346391987101756,0.03186308718222253,0.006666449341504759,0.004563640598446696,0.009016898099448084,3,"n/a (per-seed, see a1_lira_pertask_*)",full,
cifar100,m1_glfc,F1,0,0.5552391660939108,0.5484027290623479,0.5627095457435,0.027399269787455993,0.02346391987101756,0.03186308718222253,0.006666449341504759,0.004563640598446696,0.009016898099448084,3,"n/a (per-seed, see a1_lira_pertask_*)",aggregate,True
cifar100,m1_glfc,F1,0,0.5552391660939108,0.5484027290623479,0.5627095457435,0.027399269787455993,0.02346391987101756,0.03186308718222253,0.006666449341504759,0.004563640598446696,0.009016898099448084,3,"n/a (per-seed, see a1_lira_pertask_*)",global,True
cifar100,m1_glfc,F1,1,0.5729634839558867,0.5657632484880653,0.5803103160775007,0.03396792280610249,0.029414891855918803,0.039407828034058956,0.009355848220106924,0.006579946738548367,0.01197086063889901,3,"n/a (per-seed, see a1_lira_pertask_*)",full,
cifar100,m1_glfc,F1,1,0.5729634839558867,0.5657632484880653,0.5803103160775007,0.03396792280610249,0.029414891855918803,0.039407828034058956,0.009355848220106924,0.006579946738548367,0.01197086063889901,3,"n/a (per-seed, see a1_lira_pertask_*)",aggregate,True
cifar100,m1_glfc,F1,1,0.5729634839558867,0.5657632484880653,0.5803103160775007,0.03396792280610249,0.029414891855918803,0.039407828034058956,0.009355848220106924,0.006579946738548367,0.01197086063889901,3,"n/a (per-seed, see a1_lira_pertask_*)",global,True
cifar100,m1_glfc,F1,2,0.5829575324480906,0.5755707610038033,0.5905012259364641,0.04014539053331595,0.03297053588395405,0.04666080451697705,0.01109988264441257,0.008259865151530241,0.014263708460169036,3,"n/a (per-seed, see a1_lira_pertask_*)",full,
cifar100,m1_glfc,F1,2,0.5829575324480906,0.5755707610038033,0.5905012259364641,0.04014539053331595,0.03297053588395405,0.04666080451697705,0.01109988264441257,0.008259865151530241,0.014263708460169036,3,"n/a (per-seed, see a1_lira_pertask_*)",aggregate,True
