dataset,method,family,view,quantity,ablation,halflife,halflife_int,status,ci_lo,ci_hi,horizon_E,base_value,base_ci_lo,floor,halflife_expfit,r2
cub200,m5_hybrid_replay,F1,full,leak_tpr1,trajectory,6.0,,censored,6.0,6.0,6,0.05521132272371511,0.04897038713839307,0.01,,
cub200,m5_hybrid_replay,F1,full,leak_auc,trajectory,6.0,,censored,6.0,6.0,6,0.6599645976317421,0.6503219721298708,0.5,,
cub200,m5_hybrid_replay,F1,full,leak_tpr1,last_round,6.0,,censored,6.0,6.0,6,0.05521132272371511,0.04897038713839307,0.01,,
cub200,m5_hybrid_replay,F1,full,leak_auc,last_round,6.0,,censored,6.0,6.0,6,0.6599645976317421,0.6503219721298708,0.5,,
cub200,m8_analytic,F5,aggregate,leak_tpr1,trajectory,6.0,,censored,6.0,6.0,6,1.0,1.0,0.01,,
cub200,m8_analytic,F5,aggregate,leak_auc,trajectory,6.0,,censored,6.0,6.0,6,0.9999995708903426,0.9999931340330571,0.5,,
cub200,m8_analytic,F5,aggregate,leak_tpr1,last_round,6.0,,censored,6.0,6.0,6,1.0,1.0,0.01,,
cub200,m8_analytic,F5,aggregate,leak_auc,last_round,6.0,,censored,6.0,6.0,6,0.9999995708903426,0.9999931340330571,0.5,,
cub200,m8_analytic,F5,full,leak_tpr1,trajectory,6.0,,censored,6.0,6.0,6,1.0,1.0,0.01,,
cub200,m8_analytic,F5,full,leak_auc,trajectory,6.0,,censored,6.0,6.0,6,1.0,1.0,0.5,,
cub200,m8_analytic,F5,full,leak_tpr1,last_round,6.0,,censored,6.0,6.0,6,1.0,1.0,0.01,,
cub200,m8_analytic,F5,full,leak_auc,last_round,6.0,,censored,6.0,6.0,6,1.0,1.0,0.5,,
cub200,m8_analytic,F5,global,leak_tpr1,trajectory,6.0,,censored,6.0,6.0,6,1.0,1.0,0.01,,
cub200,m8_analytic,F5,global,leak_auc,trajectory,6.0,,censored,6.0,6.0,6,0.9999995135089182,0.9999922157124185,0.5,,
cub200,m8_analytic,F5,global,leak_tpr1,last_round,6.0,,censored,6.0,6.0,6,1.0,1.0,0.01,,
cub200,m8_analytic,F5,global,leak_auc,last_round,6.0,,censored,6.0,6.0,6,0.9999995135089182,0.9999922157124185,0.5,,
imagenet_r,m0_fedavg,F1,full,leak_tpr1,trajectory,6.0,,censored,6.0,6.0,6,0.07401433560366674,0.0689063937991534,0.01,,
imagenet_r,m0_fedavg,F1,full,leak_auc,trajectory,6.0,,censored,6.0,6.0,6,0.6780628969550911,0.6722111772787789,0.5,,
imagenet_r,m0_fedavg,F1,full,leak_tpr1,last_round,6.0,,censored,0.9465743074219284,6.0,6,0.07401433560366674,0.0689063937991534,0.01,,
imagenet_r,m0_fedavg,F1,full,leak_auc,last_round,6.0,,censored,0.9935704880188055,6.0,6,0.6780628969550911,0.6722111772787789,0.5,,
